@relation file_syncope/training_syncope_14
@attribute size numeric
@attribute commit_number numeric
@attribute loc_touched numeric
@attribute loc_added numeric
@attribute max_loc_added numeric
@attribute avg_loc_added numeric
@attribute churn numeric
@attribute max_churn numeric
@attribute avg_churn numeric
@attribute auth_number numeric
@attribute class {true, false}

@data
853,9,954,883,818,818,867,818,96,3,false
20,1,20,20,20,20,20,20,20,1,false
77,1,77,77,77,77,77,77,77,1,false
32,1,32,32,32,32,32,32,32,1,false
47,1,47,47,47,47,47,47,47,1,false
32,1,32,32,32,32,32,32,32,1,false
78,1,78,78,78,78,78,78,78,1,false
310,1,310,310,310,310,310,310,310,1,false
110,1,110,110,110,110,110,110,110,1,false
66,1,66,66,66,66,66,66,66,1,false
223,2,226,223,223,223,223,223,111,2,false
445,4,504,465,438,438,445,438,111,3,false
144,1,144,144,144,144,144,144,144,1,false
30,1,30,30,30,30,30,30,30,1,false
214,1,214,214,214,214,214,214,214,1,false
143,1,143,143,143,143,143,143,143,1,false
264,1,264,264,264,264,264,264,264,1,false
448,3,483,455,434,434,448,434,149,2,false
283,2,285,283,244,244,283,244,141,2,false
247,1,247,247,247,247,247,247,247,1,false
144,1,144,144,144,144,144,144,144,1,false
461,1,461,461,461,461,461,461,461,1,false
40,1,40,40,40,40,40,40,40,1,false
705,3,774,724,643,643,715,643,238,2,false
221,1,221,221,221,221,221,221,221,1,false
144,2,145,144,144,144,144,144,72,2,false
84,1,84,84,84,84,84,84,84,1,false
755,2,777,755,755,755,755,755,377,2,false
45,1,45,45,45,45,45,45,45,1,false
181,2,207,187,182,182,183,182,91,2,false
90,1,90,90,90,90,90,90,90,1,false
59,1,59,59,59,59,59,59,59,1,false
143,3,209,171,138,138,143,138,47,2,false
165,3,185,175,157,157,165,157,55,2,false
377,2,381,377,315,315,377,315,188,2,false
232,1,232,232,232,232,232,232,232,1,false
115,1,115,115,115,115,115,115,115,1,false
275,6,333,298,236,236,285,236,47,4,false
104,1,104,104,104,104,104,104,104,1,false
422,3,438,426,411,411,422,411,140,3,false
107,1,107,107,107,107,107,107,107,1,false
71,1,71,71,71,71,71,71,71,1,false
141,3,154,147,142,142,145,142,48,1,false
63,2,70,66,64,64,65,64,32,1,false
233,6,251,239,234,234,239,234,39,2,false
207,2,225,215,207,207,207,207,103,1,false
41,1,41,41,41,41,41,41,41,1,false
53,1,53,53,53,53,53,53,53,1,false
109,2,112,109,109,109,109,109,54,2,false
793,5,850,809,786,786,795,786,159,2,false
91,2,100,94,92,92,93,92,46,1,false
131,1,131,131,131,131,131,131,131,1,false
20,1,20,20,20,20,20,20,20,1,false
75,1,75,75,75,75,75,75,75,1,false
49,1,49,49,49,49,49,49,49,1,false
156,3,211,176,157,157,166,157,55,2,false
89,1,89,89,89,89,89,89,89,1,false
42,2,50,45,39,39,42,39,21,1,false
401,1,401,401,401,401,401,401,401,1,false
147,2,148,147,147,147,147,147,73,2,false
406,3,434,419,404,404,406,404,135,2,false
96,2,97,96,91,91,96,91,48,2,false
539,5,644,564,382,382,541,382,108,3,false
