"CSVFile.Version","File","Size","Commit number","Loc touched","Loc added","Max loc added","Avg loc added","Churn","Max churn","Avg churn","Authors numbers","buggy"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/EditUserModalPage.java","90","1","90","90","90","90","90","90","90","1","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/ErrorPage.java","41","1","41","41","41","41","41","41","41","1","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/ExecMessageModalPage.java","32","1","32","32","32","32","32","32","32","1","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/HomePage.java","33","1","33","33","33","33","33","33","33","1","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/Login.java","272","3","305","285","271","271","274","271","91","2","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/Logout.java","48","3","59","53","41","41","58","41","19","2","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/MembershipModalPage.java","96","2","108","102","102","102","108","102","54","1","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/NotificationModalPage.java","259","2","263","259","209","209","259","209","129","2","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/NotificationTaskModalPage.java","69","2","74","69","67","67","69","67","34","2","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/PolicyModalPage.java","206","2","211","207","198","198","206","198","103","2","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/PropagationTaskModalPage.java","45","1","45","45","45","45","45","45","45","1","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/ReportExecResultDownloadModalPage.java","70","1","70","70","70","70","70","70","70","1","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/ReportModalPage.java","574","3","588","578","576","576","582","576","194","2","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/ReportletConfModalPage.java","348","1","348","348","348","348","348","348","348","1","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/Reports.java","495","2","495","495","493","493","495","493","247","2","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/ResourceModalPage.java","165","2","166","165","165","165","165","165","82","2","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/Resources.java","506","1","506","506","506","506","506","506","506","1","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/RoleModalPage.java","121","1","121","121","121","121","121","121","121","1","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/Roles.java","96","1","96","96","96","96","96","96","96","1","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/SchedTaskModalPage.java","59","1","59","59","59","59","59","59","59","1","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/Schema.java","856","1","856","856","856","856","856","856","856","1","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/SchemaModalPage.java","301","3","333","311","239","239","301","239","100","3","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/StatusModalPage.java","114","1","114","114","114","114","114","114","114","1","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/SyncTaskModalPage.java","112","1","112","112","112","112","112","112","112","1","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/TaskModalPage.java","235","1","235","235","235","235","235","235","235","1","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/Tasks.java","208","3","231","217","179","179","208","179","69","2","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/Todo.java","483","1","483","483","483","483","483","483","483","1","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/UserModalPage.java","216","2","232","224","216","216","216","216","108","2","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/UserRequestModalPage.java","138","1","138","138","138","138","138","138","138","1","false"
