@relation file_bookkeeper/training_bookkeeper_4
@attribute size numeric
@attribute commit_number numeric
@attribute loc_touched numeric
@attribute loc_added numeric
@attribute max_loc_added numeric
@attribute avg_loc_added numeric
@attribute churn numeric
@attribute max_churn numeric
@attribute avg_churn numeric
@attribute auth_number numeric
@attribute class {true, false}

@data
28,1,28,28,28,28,28,28,28,1,false
109,3,54,5,52,52,109,57,36,3,false
1644,6,538,30,428,428,1644,769,274,3,false
104,2,134,104,104,104,104,104,52,2,false
70,2,35,0,35,35,70,35,35,2,false
98,2,99,98,98,98,98,98,49,2,false
196,4,94,38,78,78,196,117,49,3,false
4058,51,3230,540,545,545,4964,1798,97,4,false
488,6,126,4,81,81,488,246,81,4,false
180,4,195,180,168,168,180,168,45,2,false
1966,27,1533,86,487,487,2326,953,86,4,false
1024,12,369,106,124,124,1024,463,85,3,true
1198,16,1357,4,536,536,2288,601,143,4,false
422,11,331,0,133,133,668,211,60,3,false
320,5,167,6,151,151,320,161,64,3,false
147,1,147,147,147,147,147,147,147,1,false
276,6,356,2,126,126,280,139,46,3,false
1150,9,313,44,249,249,1150,564,127,3,false
2326,25,1646,97,410,410,2446,1135,97,4,false
940,10,243,114,204,204,944,520,94,4,false
105,3,53,5,50,50,105,55,35,2,false
745,9,213,7,184,184,749,376,83,4,false
277,6,96,32,61,61,277,137,46,3,false
601,14,233,5,167,167,627,292,44,4,false
160,7,101,4,80,80,160,80,22,4,false
166,4,162,0,83,83,166,83,41,3,false
3407,33,2579,231,547,547,3459,1633,104,4,false
1275,21,653,204,198,198,1291,553,61,4,false
698,13,281,42,140,140,700,319,53,4,false
698,14,316,0,178,178,790,349,56,4,false
151,5,76,22,67,67,151,84,30,3,false
681,11,269,40,138,138,723,334,65,4,false
893,19,841,364,170,170,1149,362,60,4,false
373,5,118,21,87,87,373,181,74,3,false
85,2,86,85,85,85,85,85,42,2,false
864,12,296,49,178,178,872,422,72,4,false
656,8,177,4,75,75,656,330,82,3,false
1917,30,773,124,209,209,1925,899,64,4,false
264,4,139,0,75,75,264,132,66,4,false
2153,14,606,31,521,521,2163,1060,154,4,false
2627,26,1010,60,573,573,2661,1296,102,4,false
298,2,148,2,148,148,298,150,149,2,false
174,3,184,174,173,173,174,173,58,2,false
148,3,158,148,147,147,148,147,49,2,false
184,7,1511,0,763,763,1534,763,219,3,false
984,12,538,6,209,209,984,489,82,4,false
54,3,59,54,54,54,54,54,18,3,false
86,3,43,13,38,38,86,48,28,2,false
238,4,111,42,98,98,238,131,59,3,false
39,3,49,39,38,38,39,38,13,2,false
198,5,185,62,94,94,248,94,49,4,false
459,14,208,2,101,101,465,230,33,3,false
36140,17,25282,10591,6095,6095,36142,15581,2126,3,false
3034,23,1642,209,714,714,3534,1525,153,3,false
341,4,106,27,78,78,341,157,85,2,false
72,1,72,72,72,72,72,72,72,1,false
42,1,42,42,42,42,42,42,42,1,false
1226,11,779,70,369,369,1824,734,165,3,false
559,9,227,126,61,61,567,228,63,3,false
1022,11,371,74,216,216,1094,494,99,2,false
1997,16,688,145,377,377,2007,953,125,3,false
1090,13,514,170,251,251,1306,659,100,3,false
714,8,277,26,193,193,774,349,96,3,false
2001,10,795,107,514,514,2067,991,206,3,true
861,7,241,48,204,204,883,448,126,3,false
627,4,240,124,144,144,627,246,156,2,false
544,6,232,199,98,98,560,305,93,2,false
337,5,251,173,94,94,381,143,76,2,false
27,1,27,27,27,27,27,27,27,1,false
177,3,89,1,84,84,177,89,59,1,false
51,2,54,52,52,52,53,52,26,2,false
31,2,35,33,33,33,35,33,17,2,false
27,2,132,79,79,79,131,79,65,1,false
60,1,60,60,60,60,60,60,60,1,false
484,2,236,12,236,236,484,248,242,2,false
181,2,90,2,90,90,181,91,90,2,false
58,1,58,58,58,58,58,58,58,1,false
949,9,548,229,397,397,985,517,109,2,false
862,3,430,12,424,424,862,437,287,1,false
2074,9,1327,110,1029,1029,2180,1042,242,2,false
193,2,92,9,92,92,193,101,96,1,false
686,4,405,4,357,357,738,357,184,1,false
316,4,161,0,157,157,316,158,79,1,false
767,6,419,11,216,216,767,385,127,3,false
1086,14,703,86,378,378,1126,510,80,3,false
40,1,40,40,40,40,40,40,40,1,false
215,3,227,215,177,177,215,177,71,1,false
271,2,284,271,260,260,271,260,135,1,false
909,6,575,7,425,425,917,458,152,3,false
456,5,219,70,195,195,456,257,91,2,false
665,2,666,665,665,665,665,665,332,1,false
37,1,37,37,37,37,37,37,37,1,false
27,1,27,27,27,27,27,27,27,1,false
48,1,48,48,48,48,48,48,48,1,false
1716,16,1100,159,712,712,1726,788,107,3,true
32,1,32,32,32,32,32,32,32,1,false
