"CSVFile.Version","File","Size","Commit number","Loc touched","Loc added","Max loc added","Avg loc added","Churn","Max churn","Avg churn","Authors numbers","buggy"
"4.0.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java","603","9","705","625","573","573","607","573","67","3","true"
"4.0.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/ServerStats.java","148","1","148","148","148","148","148","148","148","1","false"
"4.0.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerInputStream.java","174","3","184","174","173","173","174","173","58","2","false"
"4.0.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerOutputStream.java","148","3","158","148","147","147","148","147","49","2","false"
"4.0.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/tools/BookKeeperTools.java","92","6","1511","769","763","763","1442","763","240","3","false"
"4.0.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/util/LocalBookKeeper.java","234","6","479","275","209","209","234","209","39","3","true"
"4.0.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/util/Main.java","54","3","59","54","54","54","54","54","18","3","false"
"4.0.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/util/MathUtils.java","38","2","43","38","38","38","38","38","19","2","false"
"4.0.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/util/OrderedSafeExecutor.java","98","2","102","98","98","98","98","98","49","2","false"
"4.0.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/util/SafeRunnable.java","39","3","49","39","38","38","39","38","13","2","false"
"4.0.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/util/StringUtils.java","69","3","123","94","94","94","119","94","39","3","false"
"4.0.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadLastConfirmedOp.java","103","6","133","109","101","101","107","101","17","2","true"
"4.0.0","hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java","6367","2","16712","10857","6095","6095","6367","6095","3183","2","true"
"4.0.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java","728","6","1085","882","714","714","882","714","147","2","false"
"4.0.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadOnlyLedgerHandle.java","78","1","78","78","78","78","78","78","78","1","false"
"4.0.0","hedwig-client/src/main/java/org/apache/hedwig/client/HedwigClient.java","72","1","72","72","72","72","72","72","72","1","false"
"4.0.0","hedwig-client/src/main/java/org/apache/hedwig/client/api/Client.java","42","1","42","42","42","42","42","42","42","1","false"
"4.0.0","hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigClientImpl.java","369","1","369","369","369","369","369","369","369","1","false"
"4.0.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/AbstractConfiguration.java","105","2","106","105","61","61","105","61","52","1","false"
"4.0.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ClientConfiguration.java","216","4","224","216","216","216","216","216","54","2","true"
"4.0.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ServerConfiguration.java","377","4","397","377","377","377","377","377","94","2","true"
"4.0.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/AbstractZkLedgerManager.java","253","2","255","253","251","251","253","251","126","1","false"
"4.0.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/FlatLedgerManager.java","193","1","193","193","193","193","193","193","193","1","true"
"4.0.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/HierarchicalLedgerManager.java","514","1","514","514","514","514","514","514","514","1","true"
"4.0.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerLayout.java","204","1","204","204","204","204","204","204","204","1","false"
"4.0.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManager.java","144","1","144","144","144","144","144","144","144","1","true"
"4.0.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManagerFactory.java","98","1","98","98","98","98","98","98","98","1","false"
"4.0.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/util/ZkUtils.java","94","1","94","94","94","94","94","94","94","1","false"
"4.1.0","bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java","137","4","303","205","137","137","139","137","34","2","false"
"4.1.0","bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java","612","7","783","262","260","260","630","252","90","3","true"
